Name,Kingdom,Locations,Update Dates
Goldenrod crab spider,animalia,"44.079620, -79.455215,44.079620, -79.455215,44.079620, -79.455215,44.079620, -79.455215,44.079620, -79.455215","2024:05:14 11:47:50,2024:05:14 11:47:54,2024:05:14 11:48:06,2024:05:14 11:48:24,2024:05:14 11:48:30"
Great Egret,animalia,"42.579341, -80.384408",2023:08:14 14:34:09
Grey seal,animalia,"48.527752, -64.211653",2019:08:20 14:12:54
Hoary marmot,animalia,"52.853811, -118.070118",2021:09:08 09:39:24
Isabella tiger moth,animalia,"44.630253, -78.876511,43.990003, -77.733125","2023:09:17 16:28:44,2023:10:29 16:40:08"
Ladybug,animalia,"43.898243, -79.063545",2024:05:01 14:48:17
Leopard frog,animalia,"43.650856, -81.488817,42.579341, -80.384408","2022:10:23 14:45:58,2023:08:14 12:42:18"
Mallard duck,animalia,"43.853599, -78.963375,43.996896, -77.725361,43.851038, -78.878532","2023:06:10 06:33:49,2023:10:29 03:52:49,2024:04:21 14:43:55"
Milkweed tiger moth,animalia,"44.298561, -77.789947,44.622119, -78.870300","2023:09:09 16:15:26,2023:09:17 15:50:06"
Millipede,animalia,"44.505286, -76.546775,44.528194, -76.041861","2023:05:21 16:00:05,2023:05:22 15:03:41"
Monarch butterfly,animalia,"43.823458, -80.007111,42.579341, -80.384408,44.290559, -77.788009","2022:07:31 15:58:29,2022:08:14 03:20:36,2023:09:09 04:23:58"
Mountain goat,animalia,"52.853811, -118.070118",2021:09:08 09:39:24
Mule deer,animalia,"51.177246, -115.558615",2022:12:05 04:18:42
Mustard white,animalia,"43.894343, -79.061077,43.894421, -79.061249,43.894421, -79.061249","2024:05:01 14:09:45,2024:05:01 14:31:04,2024:05:01 14:31:33"
Mute swan,animalia,"43.856937, -78.962718,43.870587, -78.785675,43.999612, -77.683462","2023:06:10 06:46:48,2023:06:28 07:52:54,2023:10:29 03:46:48"
Northern Gannet,animalia,"48.493635, -64.144015",2019:08:20 15:13:52
Northern dusky slug,animalia,"44.082684, -79.455032,44.059460, -79.327377,44.059879, -79.327354","2024:05:14 12:34:16,2024:05:14 13:29:46,2024:05:14 13:43:40"
Painted Lady,animalia,"44.002419, -78.776897",2024:05:04 03:48:12
Painted turtle,animalia,"46.048341, -81.314957,44.539357, -76.515374","2022:07:02 12:12:03,2023:05:21 02:22:46"
Pika,animalia,"52.853811, -118.070118",2021:09:08 09:39:24
Red admiral,animalia,"44.034003, -79.113182,44.002458, -78.776329,43.968239, -78.628838,43.968237, -78.628838","2024:04:15 16:51:10,2024:05:04 03:19:33,2024:05:07 11:29:49,2024:05:07 11:29:53"
Red-winged blackbird,animalia,"43.819991, -79.011526,43.819991, -79.011526,43.819991, -79.011526,43.819991, -79.011526,43.819991, -79.011526","2023:06:30 05:53:26,2023:06:30 06:19:27,2023:06:30 06:20:36,2023:06:30 06:23:06,2023:06:30 18:31:02"
Robin,animalia,"43.860533, -78.840644,43.858056, -78.840814,43.852400, -78.880166,43.819991, -79.011526,44.334587, -79.325581,44.002458, -78.776329","2023:04:16 16:24:25,2023:04:16 16:36:15,2023:05:06 03:58:30,2023:06:30 05:51:03,2023:09:30 18:56:43,2024:05:04 03:22:08"
Seagull,animalia,"43.852198, -78.879782,44.334226, -79.326612","2023:05:06 03:01:16,2023:09:30 03:21:13"
Slug,animalia,"43.634443, -79.970757,44.404047, -81.480095,44.084886, -79.343384,43.933365, -78.986592","2022:05:21 16:30:12,2022:05:22 14:43:48,2024:04:16 09:33:06,2024:04:28 18:23:58"
Snail,animalia,"43.933922, -78.986335,43.933365, -78.986592","2024:04:28 17:45:21,2024:04:28 18:26:25"
Starling,animalia,"43.887383, -81.311874",2022:04:20 08:30:23
Toad,animalia,"43.892852, -81.302733,43.834033, -81.455811,44.570895, -79.329804","2021:07:13 21:56:45,2022:09:05 11:04:44,2023:11:05 02:05:16"
Trumpeter swan,animalia,"43.794194, -79.117644",2023:12:31 12:57:37
White-lipped Snail,animalia,"44.096132, -79.465291",2024:05:14 12:40:40
White-tailed deer,animalia,"43.854215, -78.965618,43.853227, -78.964062,46.181800, -74.567628,46.135169, -74.591156","2023:06:10 06:18:57,2023:06:10 07:01:13,2023:12:27 15:58:55,2023:12:28 09:38:23"
Wild Turkey,animalia,"42.949067, -81.399994,44.617361, -78.854883","2022:12:30 15:46:56,2023:09:17 03:06:56"
Aborted entoloma,fungi,"46.399781, -72.658500,46.399781, -72.658492,46.399808, -72.658469,46.399803, -72.658464,46.399764, -72.658447,46.399761, -72.658456,46.401925, -72.660514,46.401925, -72.660514","2023:10:09 11:18:08,2023:10:09 11:18:14,2023:10:09 11:18:19,2023:10:09 11:18:25,2023:10:09 11:18:32,2023:10:09 11:18:37,2023:10:09 11:28:17,2023:10:09 11:28:35"
Alder bracket,fungi,"44.295667, -77.798294,44.295692, -77.798247","2023:09:09 15:41:00,2023:09:09 15:41:07"
Amber jelly roll,fungi,"43.933396, -78.986506",2024:04:28 18:00:37
American slippery jack,fungi,"46.017403, -80.591583,46.017406, -80.591575,46.017544, -80.593369,46.017344, -80.593125,46.017228, -80.593986,46.017231, -80.594033,46.017217, -80.594117,45.924736, -80.556642,45.924747, -80.556617,45.924744, -80.556617,45.924747, -80.556603,45.924714, -80.556611,45.924703, -80.556594,45.924003, -80.556550,45.924003, -80.556556,45.923619, -80.556228,45.923622, -80.556222,45.923431, -80.556039,45.923431, -80.556039","2023:08:21 16:13:44,2023:08:21 16:13:50,2023:08:21 16:19:56,2023:08:21 16:20:16,2023:08:21 16:25:08,2023:08:21 16:25:11,2023:08:21 16:25:24,2023:08:25 11:46:22,2023:08:25 11:46:32,2023:08:25 11:46:36,2023:08:25 11:46:46,2023:08:25 11:47:03,2023:08:25 11:47:23,2023:08:25 11:52:30,2023:08:25 11:52:37,2023:08:25 11:56:37,2023:08:25 11:56:48,2023:08:25 13:57:45,2023:08:25 13:57:51"
Artist's Bracket,fungi,"43.687783, -81.585700,43.687767, -81.585731,46.582400, -82.708406,46.582267, -82.708428,46.588333, -82.678025,46.588336, -82.677994,45.781911, -82.700553,45.781942, -82.700553,45.781897, -82.700553,45.781936, -82.700561,44.301692, -78.266669,44.301644, -78.266686,44.622681, -78.865464,44.622639, -78.865539,44.622619, -78.865531,44.622622, -78.865531,44.156631, -79.912903,44.156619, -79.912942,46.334275, -74.495850,46.334256, -74.495842,44.075584, -79.452988,44.083200, -79.455763","2022:08:27 13:28:46,2022:08:27 13:28:51,2023:08:22 13:32:26,2023:08:22 13:32:32,2023:08:22 15:35:10,2023:08:22 15:35:15,2023:08:23 16:25:03,2023:08:23 16:25:15,2023:08:23 16:25:25,2023:08:23 16:25:29,2023:09:03 15:44:24,2023:09:03 15:44:32,2023:09:17 15:35:34,2023:09:17 15:35:45,2023:09:17 15:35:53,2023:09:17 15:35:57,2023:10:28 16:25:06,2023:10:28 16:25:12,2023:12:28 12:20:47,2023:12:28 12:20:55,2024:05:14 12:12:25,2024:05:14 12:12:27"
Bear's head tooth,fungi,"44.483789, -80.316208,44.483775, -80.316247","2022:10:02 16:49:47,2022:10:02 16:50:19"
Beech rooter,fungi,"44.296944, -78.268897,44.296886, -78.269194,44.302764, -78.267700,44.302789, -78.267656,44.302333, -78.267403,44.302325, -78.267386,44.624164, -78.862458,44.624128, -78.862464","2023:09:03 15:16:15,2023:09:03 15:16:20,2023:09:03 15:33:14,2023:09:03 15:33:19,2023:09:03 15:40:52,2023:09:03 15:40:56,2023:09:17 15:24:44,2023:09:17 15:24:56"
Birch Knight,fungi,"44.622947, -78.863647,44.622956, -78.863686,44.622967, -78.863678,44.622967, -78.863633,44.622958, -78.863656","2023:09:17 15:28:34,2023:09:17 15:28:45,2023:09:17 15:28:50,2023:09:17 15:29:00,2023:09:17 15:29:21"
Birch bolete,fungi,"46.583183, -82.705872,46.583233, -82.705825,46.583217, -82.705842,46.583214, -82.705850,45.794358, -82.734864,45.793758, -82.737022,45.793811, -82.737014,45.786122, -82.698761,45.786022, -82.698800","2023:08:22 13:36:00,2023:08:22 13:36:06,2023:08:22 13:36:11,2023:08:22 13:36:20,2023:08:23 14:20:39,2023:08:23 14:20:41,2023:08:23 14:20:56,2023:08:23 16:44:36,2023:08:23 16:44:59"
Birch polypore,fungi,"43.729253, -81.697569,43.729186, -81.697600,46.588567, -82.680794,44.079825, -78.498506,44.079650, -78.498725,44.079647, -78.498703,44.079639, -78.498711","2022:11:13 15:13:51,2022:11:13 15:14:00,2023:08:22 15:27:36,2024:05:11 16:23:48,2024:05:11 16:23:57,2024:05:11 16:24:07,2024:05:11 16:24:15"
Bitter Bolete,fungi,"43.833931, -81.457656,43.833972, -81.457711","2022:09:05 10:31:06,2022:09:05 10:31:38"
Bitter oysterling,fungi,"42.951394, -81.397775,42.951367, -81.397767,43.808619, -79.150803,43.808617, -79.150794","2022:12:30 15:37:37,2022:12:30 15:37:48,2023:12:03 16:22:20,2023:12:03 16:22:25"
Black Morel,fungi,"44.506175, -76.553056,44.506144, -76.553056,43.910378, -77.276961,43.910378, -77.276961","2023:05:21 14:05:32,2023:05:21 14:05:51,2024:05:12 17:54:16,2024:05:12 17:55:10"
Black earth tongue,fungi,"45.917881, -80.555458,45.917886, -80.555467","2023:08:25 13:29:19,2023:08:25 13:29:21"
Black footed polypore,fungi,"46.588928, -82.699333,46.588914, -82.699347,44.624725, -78.862031,44.624703, -78.862069,44.624783, -78.861961,44.624747, -78.861947,43.866283, -78.841536,43.866386, -78.841239,43.866425, -78.841225,43.866425, -78.841225,46.182378, -74.558364,46.182444, -74.558281,46.182439, -74.558272,44.004906, -78.777100,44.004908, -78.777100","2023:08:22 14:16:46,2023:08:22 14:16:54,2023:09:17 15:21:20,2023:09:17 15:21:36,2023:09:17 15:21:50,2023:09:17 15:22:00,2023:12:16 15:07:23,2023:12:16 15:07:36,2023:12:16 15:07:55,2023:12:16 15:08:00,2023:12:27 14:19:56,2023:12:27 14:20:00,2023:12:27 14:20:07,2024:05:04 15:54:54,2024:05:04 15:55:10"
Black knot,fungi,"43.933004, -78.986978,43.857259, -79.202412,44.084827, -79.358931,43.871306, -79.135831,44.037273, -79.097374,43.992325, -79.201315,44.005853, -78.778367,44.080708, -79.313339,44.079300, -78.502708,43.910069, -77.272483,44.085121, -79.455177","2024:04:28 18:11:44,2024:04:29 12:04:53,2024:04:30 10:07:47,2024:04:30 12:16:16,2024:05:02 13:55:51,2024:05:03 14:27:48,2024:05:04 15:46:46,2024:05:06 18:00:35,2024:05:11 17:04:37,2024:05:12 16:33:04,2024:05:14 12:44:32"
Black trumpet,fungi,"45.923625, -80.556222,45.923650, -80.556228","2023:08:25 11:57:05,2023:08:25 11:57:12"
Blewit,fungi,"44.156822, -79.913811,44.156825, -79.913789,44.156814, -79.913803","2023:10:28 16:10:03,2023:10:28 16:10:07,2023:10:28 16:10:23"
Blushing bracket,fungi,"43.720081, -81.693925,43.720108, -81.693956,43.720119, -81.693925","2022:11:13 14:26:25,2022:11:13 14:26:31,2022:11:13 14:26:49"
Bolete Eater,fungi,"44.436639, -79.759522,44.436711, -79.759522,44.436786, -79.759614,44.436783, -79.759558,46.017400, -80.592950,46.585064, -82.675194,46.585064, -82.674928,46.585064, -82.674928,45.923181, -80.555922","2022:09:05 16:17:13,2022:09:05 16:17:46,2022:09:05 16:20:30,2022:09:05 16:20:56,2023:08:21 16:18:29,2023:08:22 15:58:10,2023:08:22 15:58:24,2023:08:22 15:58:28,2023:08:25 12:04:01"
Brown roll-rim,fungi,"43.871669, -79.129708,43.871708, -79.129722","2023:07:01 20:15:33,2023:07:01 20:15:39"
Bulbous honey fungus,fungi,"46.395381, -72.667975,46.395381, -72.667975,46.395381, -72.667975,46.395381, -72.667975","2023:10:09 11:22:03,2023:10:09 11:22:08,2023:10:09 11:22:17,2023:10:09 11:22:21"
Candlesnuff fungus,fungi,"43.810642, -79.151406",2023:06:27 20:49:38
Candy Apple Bolete,fungi,"42.703739, -80.333697,42.703739, -80.333697","2022:08:14 17:22:24,2022:08:14 17:23:43"
Cannonball fungus,fungi,"46.256425, -74.256767,46.256425, -74.256767,46.256417, -74.256753,46.256419, -74.256753","2023:12:29 13:13:39,2023:12:29 13:13:44,2023:12:29 13:13:48,2023:12:29 13:13:54"
Chicken of the Woods,fungi,"43.684914, -81.579133,43.684894, -81.579147,44.918792, -78.062072,44.918778, -78.062081,44.918756, -78.062094","2022:08:27 14:53:24,2022:08:27 14:53:34,2023:06:03 16:30:08,2023:06:03 16:30:19,2023:06:03 16:30:36"
Clitocybula oculus,fungi,"46.016994, -80.596344,46.016872, -80.596306","2023:08:21 16:30:21,2023:08:21 16:30:27"
Common Brown Cup,fungi,"44.513767, -76.041633,44.513786, -76.041619","2023:05:22 15:44:58,2023:05:22 15:45:06"
Common Funnel,fungi,"44.435600, -79.756736,44.435558, -79.756989,46.588067, -82.682311,46.588067, -82.682106,46.714694, -79.818931,46.714897, -79.816711","2022:09:05 16:53:25,2022:09:05 16:53:42,2023:08:22 15:22:29,2023:08:22 15:22:36,2023:08:24 16:18:07,2023:08:24 16:18:14"
Common earthball,fungi,"46.589353, -82.699075,46.589378, -82.699044,46.589378, -82.699044","2023:08:22 14:18:28,2023:08:22 14:18:33,2023:08:22 14:18:39"
Common greenshield lichen,fungi,"43.992584, -79.201462",2024:05:03 15:08:37
Common ink cap,fungi,"43.872167, -78.794450,43.872161, -78.794464","2023:05:13 14:48:39,2023:05:13 14:48:50"
Common puffball,fungi,"46.587567, -82.682878,46.587558, -82.682853,46.588525, -82.680886,46.588508, -82.681022,46.588525, -82.680900,46.588547, -82.680847,46.725544, -79.812575,44.620922, -78.867006,44.620922, -78.866997","2023:08:22 15:19:56,2023:08:22 15:20:05,2023:08:22 15:25:28,2023:08:22 15:25:42,2023:08:22 15:27:20,2023:08:22 15:27:26,2023:08:24 15:00:19,2023:09:17 15:43:33,2023:09:17 15:43:38"
Coral Tooth Fungus,fungi,"46.588481, -82.700081,46.588578, -82.699944,44.299194, -78.267503,44.299194, -78.267517","2023:08:22 14:13:31,2023:08:22 14:13:45,2023:09:03 15:52:12,2023:09:03 15:52:17"
Coral spot,fungi,"46.343164, -74.499047,46.343156, -74.499039,46.343156, -74.499039","2023:12:28 14:46:59,2023:12:28 14:47:23,2023:12:28 14:47:25"
Crested coral,fungi,"46.587156, -82.705367,46.582339, -82.679397,46.582303, -82.679383,46.582297, -82.679383,45.922772, -80.555764,45.922767, -80.555733,45.922744, -80.555711,45.922744, -80.555725","2023:08:22 13:56:26,2023:08:22 16:35:31,2023:08:22 16:35:40,2023:08:22 16:35:48,2023:08:25 12:07:48,2023:08:25 12:08:05,2023:08:25 12:08:09,2023:08:25 12:08:16"
Crimped Gill,fungi,"46.333531, -74.493325,46.333442, -74.493417,46.333442, -74.493431,46.258367, -74.251511,46.258367, -74.251519","2023:12:28 12:32:02,2023:12:28 12:32:12,2023:12:28 12:32:24,2023:12:29 13:41:03,2023:12:29 13:41:11"
Cushion bracket,fungi,"46.343047, -74.498306",2023:12:28 14:45:03
Dark honey mushroom,fungi,"46.396953, -72.664606,46.396953, -72.664606,46.396953, -72.664606,46.396953, -72.664606,46.401919, -72.660531,46.401919, -72.660531","2023:10:09 11:21:01,2023:10:09 11:21:04,2023:10:09 11:21:44,2023:10:09 11:21:49,2023:10:09 11:28:42,2023:10:09 11:28:49"
Dead man's foot,fungi,"45.925992, -80.566100,45.925992, -80.566100","2023:08:25 13:41:46,2023:08:25 13:42:01"
Decorated mop,fungi,"46.724700, -79.814208,46.724736, -79.814231","2023:08:24 15:08:06,2023:08:24 15:08:11"
Destroying angel,fungi,"46.726356, -79.811386,46.726289, -79.811486,46.725533, -79.812522,46.725533, -79.812500,46.722672, -79.818969,46.722519, -79.819206,46.717828, -79.813675,46.717878, -79.813872,46.721189, -79.811736,46.721644, -79.812042,46.721778, -79.812003,46.721775, -79.811997,46.723853, -79.811347,46.723653, -79.811469,45.910839, -80.563806,45.910839, -80.563806,45.915956, -80.553567,45.915958, -80.553558","2023:08:24 14:54:57,2023:08:24 14:55:06,2023:08:24 15:00:23,2023:08:24 15:00:28,2023:08:24 15:26:28,2023:08:24 15:26:36,2023:08:24 16:32:20,2023:08:24 16:32:34,2023:08:24 16:47:20,2023:08:24 16:47:26,2023:08:24 16:48:39,2023:08:24 16:48:44,2023:08:24 16:53:35,2023:08:24 16:53:40,2023:08:25 12:33:16,2023:08:25 12:33:21,2023:08:25 13:21:25,2023:08:25 13:21:38"
Dryad's saddle,fungi,"44.528194, -76.041861,44.528192, -76.041869,44.528217, -76.041856,44.921678, -78.068825,43.852908, -78.963700,44.004928, -78.777397,44.004939, -78.777411","2023:05:22 15:03:41,2023:05:22 15:03:48,2023:05:22 15:04:01,2023:06:03 14:51:32,2023:06:10 18:37:29,2024:05:04 15:52:55,2024:05:04 15:53:00"
Dune brittlestem,fungi,"45.791328, -82.735856,45.791328, -82.735869,45.791319, -82.735817,45.791317, -82.735808,45.791297, -82.735864","2023:08:23 14:31:31,2023:08:23 14:31:37,2023:08:23 14:31:49,2023:08:23 14:32:07,2023:08:23 14:32:32"
Dust lichen,fungi,"43.857382, -79.202412,43.895424, -79.060982,43.992012, -79.199944","2024:04:29 12:46:56,2024:05:01 14:36:22,2024:05:03 14:31:24"
Dyer's polypore,fungi,"46.590089, -82.692428,46.590089, -82.692428,45.781539, -82.709931,45.781533, -82.709908,45.781525, -82.709878,45.781533, -82.709878,45.781564, -82.709914,45.781567, -82.709883,45.916881, -80.552536,45.916900, -80.552550","2023:08:22 14:38:32,2023:08:22 14:38:37,2023:08:23 17:20:03,2023:08:23 17:20:15,2023:08:23 17:20:19,2023:08:23 17:20:35,2023:08:23 17:21:17,2023:08:23 17:21:30,2023:08:25 12:43:32,2023:08:25 12:43:41"
Eyelash cup,fungi,"46.588939, -82.699408",2023:08:22 14:15:42
False chanterelle,fungi,"45.798094, -82.731614,45.798328, -82.731392,45.798317, -82.731422","2023:08:23 14:03:35,2023:08:23 14:03:45,2023:08:23 14:04:01"
Firm russula,fungi,"45.924003, -80.556586,45.924008, -80.556586,45.921250, -80.556000,45.921250, -80.556000,45.923458, -80.556144,45.923458, -80.556144","2023:08:25 11:52:05,2023:08:25 11:52:14,2023:08:25 13:48:58,2023:08:25 13:49:07,2023:08:25 13:56:41,2023:08:25 13:56:48"
Fly agaric,fungi,"43.871739, -79.130736,43.871747, -79.130814,46.016769, -80.585122,46.016778, -80.585067,46.017333, -80.593453,46.017289, -80.593597,46.012839, -80.577775,46.016633, -80.598411,46.581036, -82.708656,46.581036, -82.708656,45.924733, -80.556611,45.924747, -80.556611,45.924744, -80.556642,45.924736, -80.556611,45.915833, -80.553536,45.915853, -80.553528,45.915886, -80.553528,45.915894, -80.553536,45.918083, -80.555778,45.918072, -80.555808","2023:07:01 20:12:08,2023:07:01 20:12:13,2023:08:21 15:28:46,2023:08:21 15:28:52,2023:08:21 16:21:45,2023:08:21 16:21:53,2023:08:21 17:16:04,2023:08:21 17:16:09,2023:08:22 17:33:24,2023:08:22 17:33:30,2023:08:25 11:45:27,2023:08:25 11:45:31,2023:08:25 11:46:11,2023:08:25 11:46:16,2023:08:25 13:20:44,2023:08:25 13:20:48,2023:08:25 13:20:53,2023:08:25 13:21:00,2023:08:25 13:30:56,2023:08:25 13:31:11"
Fragrant bracket,fungi,"43.806381, -79.150178,43.806422, -79.150231","2023:12:03 16:38:50,2023:12:03 16:40:13"
Giant Puffball,fungi,"43.827275, -81.459581,44.291081, -77.793053,44.291022, -77.793022,44.291008, -77.792992","2022:08:27 11:41:52,2023:09:09 16:40:24,2023:09:09 16:40:46,2023:09:09 16:40:53"
Goblet funnel cap,fungi,"46.256447, -74.256814,46.256450, -74.256789","2023:12:29 13:14:11,2023:12:29 13:14:16"
Goblet waxcap,fungi,"46.587058, -82.704461,46.587106, -82.704514","2023:08:22 14:00:18,2023:08:22 14:00:33"
Golden Pholiota,fungi,"44.486983, -80.318886,44.487081, -80.319078,44.487069, -80.319122,46.401131, -72.659508,46.401111, -72.659478","2022:10:02 17:31:11,2022:10:02 17:31:35,2022:10:02 17:31:44,2023:10:09 11:24:46,2023:10:09 11:24:55"
Golden waxcap,fungi,"46.719714, -79.822631,46.719456, -79.822167,44.302628, -78.267761,44.302775, -78.267708,44.302775, -78.267708","2023:08:24 15:44:46,2023:08:24 15:44:57,2023:09:03 15:33:41,2023:09:03 15:33:56,2023:09:03 15:34:07"
Graceful Bolete,fungi,"43.694947, -81.586922,43.694939, -81.587111,43.833900, -81.456200,43.833911, -81.456161,43.886147, -81.493539,43.886150, -81.493469","2022:08:27 14:03:25,2022:08:27 14:03:37,2022:09:05 11:03:31,2022:09:05 11:03:36,2022:09:08 12:35:22,2022:09:08 12:35:32"
Grey Knight,fungi,"43.758914, -81.701019,43.758914, -81.701019,44.149392, -79.902947,44.149400, -79.902931,44.157086, -79.914086,44.157089, -79.914056,44.157336, -79.914322,44.157353, -79.914367","2022:11:04 15:32:50,2022:11:04 15:33:13,2023:10:28 15:29:19,2023:10:28 15:29:25,2023:10:28 16:11:40,2023:10:28 16:12:02,2023:10:28 16:13:13,2023:10:28 16:13:19"
Grisette,fungi,"46.017231, -80.593675,46.017231, -80.593711,46.017219, -80.593728,46.017222, -80.593719,46.017247, -80.593719,46.017253, -80.593728,46.725406, -79.812561,46.725289, -79.813683,46.725094, -79.813439,45.923742, -80.556344,45.923736, -80.556306","2023:08:21 16:22:32,2023:08:21 16:22:43,2023:08:21 16:22:48,2023:08:21 16:22:57,2023:08:21 16:23:04,2023:08:21 16:23:11,2023:08:24 15:04:57,2023:08:24 15:05:01,2023:08:24 15:05:05,2023:08:25 11:54:49,2023:08:25 11:55:02"
Gypsy mushroom,fungi,"46.722531, -79.819533,46.722553, -79.819467,46.714911, -79.816575,46.714919, -79.816581","2023:08:24 15:27:59,2023:08:24 15:28:23,2023:08:24 16:18:41,2023:08:24 16:18:54"
Hammered shield lichen,fungi,"44.089490, -79.358520,44.035267, -79.107521,44.081532, -79.455513,44.081532, -79.455513","2024:04:30 10:10:44,2024:05:02 13:23:57,2024:05:14 12:21:03,2024:05:14 12:21:18"
Hexagonal-pored polypore,fungi,"42.952175, -81.390656,42.952142, -81.390700","2022:12:30 15:09:45,2022:12:30 15:09:52"
Hoary rosette lichen,fungi,"43.912650, -77.287078",2024:05:12 17:26:07
Honey fungus,fungi,"44.624725, -78.861947,44.624744, -78.861961,46.396125, -72.662117,46.399772, -72.658486","2023:09:17 15:22:21,2023:09:17 15:22:25,2023:10:09 11:17:53,2023:10:09 11:18:00"
Honey mushroom,fungi,"46.396953, -72.664606,46.396953, -72.664606,44.575700, -79.330969,44.575686, -79.330978","2023:10:09 11:20:46,2023:10:09 11:20:52,2023:11:05 13:35:11,2023:11:05 13:35:32"
Horse mushroom,fungi,"43.874036, -78.791786,43.873939, -78.792083,43.873883, -78.792039,43.873889, -78.792083","2023:06:28 20:01:55,2023:06:28 20:02:05,2023:06:28 20:02:33,2023:06:28 20:03:54"
Jelly Baby,fungi,"44.436733, -79.759606,44.436747, -79.759544,46.715794, -79.814308,46.715797, -79.814308","2022:09:05 16:25:00,2022:09:05 16:27:34,2023:08:24 16:24:08,2023:08:24 16:24:18"
Large White Leucopax,fungi,"45.785947, -82.714158,45.788200, -82.716797,45.788206, -82.716781,45.788242, -82.716867,45.788200, -82.716872","2023:08:23 17:42:42,2023:08:23 17:42:57,2023:08:23 17:43:06,2023:08:23 17:43:27,2023:08:23 17:43:44"
Lentinus levis,fungi,"46.587111, -82.676544,46.587147, -82.676658","2023:08:22 15:44:31,2023:08:22 15:44:53"
Lobster Mushroom,fungi,"44.435392, -79.757064,44.435386, -79.757072,44.435386, -79.757089,44.435367, -79.757094","2022:09:05 16:57:00,2022:09:05 16:57:09,2022:09:05 16:58:51,2022:09:05 16:58:59"
Lumpy Bracket,fungi,"44.404047, -81.480095,44.404047, -81.480095,44.046250, -80.066772,44.046250, -80.066772,42.947136, -81.399842,42.947136, -81.399842,44.622639, -78.865531,44.622672, -78.865494,44.331539, -79.317169,44.331539, -79.317169,44.034587, -79.101192,44.034657, -79.101083,44.034656, -79.101082,44.009608, -78.780883,44.009608, -78.780883,44.007144, -78.778564,44.007236, -78.778556,44.081306, -78.501197,44.081225, -78.501083","2022:05:22 14:46:32,2022:05:22 14:46:58,2022:06:05 16:05:33,2022:06:05 16:05:44,2022:12:30 15:52:50,2022:12:30 15:52:54,2023:09:17 15:35:14,2023:09:17 15:35:26,2023:09:30 16:21:59,2023:09:30 16:22:07,2024:05:02 14:41:46,2024:05:02 14:41:59,2024:05:02 14:42:03,2024:05:04 15:09:18,2024:05:04 15:09:28,2024:05:04 15:32:47,2024:05:04 15:33:01,2024:05:11 17:20:32,2024:05:11 17:20:37"
